"Indicator","Age Group","Country","Sex","Year","WHO region","Display Value","Numeric","Low","High","Comments"
"Mean BMI (kg/m2) (age-standardized estimate)","20+","","Male","2008","Global","23.8 [23.6-24.0]","","","",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","","Female","2008","Global","24.2 [23.9-24.4]","","","",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1980","Eastern Mediterranean","21.4 [18.7-24.2]","21.40000","18.70000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1981","Eastern Mediterranean","21.4 [18.8-24.1]","21.40000","18.80000","24.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1982","Eastern Mediterranean","21.4 [18.8-24.0]","21.40000","18.80000","24.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1983","Eastern Mediterranean","21.4 [18.9-23.9]","21.40000","18.90000","23.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1984","Eastern Mediterranean","21.4 [19.0-23.8]","21.40000","19.00000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1985","Eastern Mediterranean","21.3 [19.0-23.8]","21.30000","19.00000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1986","Eastern Mediterranean","21.3 [19.0-23.7]","21.30000","19.00000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1987","Eastern Mediterranean","21.3 [19.0-23.7]","21.30000","19.00000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1988","Eastern Mediterranean","21.3 [19.0-23.6]","21.30000","19.00000","23.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1989","Eastern Mediterranean","21.2 [19.0-23.5]","21.20000","19.00000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1990","Eastern Mediterranean","21.2 [19.0-23.5]","21.20000","19.00000","23.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1991","Eastern Mediterranean","21.2 [19.0-23.4]","21.20000","19.00000","23.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1992","Eastern Mediterranean","21.1 [18.9-23.3]","21.10000","18.90000","23.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1993","Eastern Mediterranean","21.0 [18.9-23.3]","21.00000","18.90000","23.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1994","Eastern Mediterranean","21.0 [18.8-23.2]","21.00000","18.80000","23.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1995","Eastern Mediterranean","20.9 [18.7-23.1]","20.90000","18.70000","23.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1996","Eastern Mediterranean","20.8 [18.7-23.1]","20.80000","18.70000","23.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1997","Eastern Mediterranean","20.8 [18.7-23.0]","20.80000","18.70000","23.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1998","Eastern Mediterranean","20.8 [18.6-23.0]","20.80000","18.60000","23.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","1999","Eastern Mediterranean","20.8 [18.6-23.0]","20.80000","18.60000","23.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","2000","Eastern Mediterranean","20.7 [18.5-22.9]","20.70000","18.50000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","2001","Eastern Mediterranean","20.7 [18.4-22.9]","20.70000","18.40000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","2002","Eastern Mediterranean","20.6 [18.4-22.9]","20.60000","18.40000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","2003","Eastern Mediterranean","20.6 [18.4-22.9]","20.60000","18.40000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","2004","Eastern Mediterranean","20.6 [18.3-22.9]","20.60000","18.30000","22.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","2005","Eastern Mediterranean","20.6 [18.3-23.0]","20.60000","18.30000","23.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","2006","Eastern Mediterranean","20.7 [18.3-23.0]","20.70000","18.30000","23.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Afghanistan","Male","2007","Eastern Mediterranean","20.7 [18.3-23.1]","20.70000","18.30000","23.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1980","Europe","25.0 [22.8-27.2]","25.00000","22.80000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1981","Europe","25.0 [22.9-27.1]","25.00000","22.90000","27.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1982","Europe","25.0 [23.1-27.0]","25.00000","23.10000","27.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1983","Europe","25.0 [23.2-27.0]","25.00000","23.20000","27.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1984","Europe","25.1 [23.3-26.9]","25.10000","23.30000","26.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1985","Europe","25.1 [23.4-26.9]","25.10000","23.40000","26.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1986","Europe","25.1 [23.4-26.8]","25.10000","23.40000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1987","Europe","25.1 [23.4-26.8]","25.10000","23.40000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1988","Europe","25.1 [23.5-26.8]","25.10000","23.50000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1989","Europe","25.2 [23.5-26.8]","25.20000","23.50000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1990","Europe","25.2 [23.6-26.8]","25.20000","23.60000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1991","Europe","25.1 [23.6-26.7]","25.10000","23.60000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1992","Europe","25.1 [23.6-26.6]","25.10000","23.60000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1993","Europe","25.1 [23.6-26.6]","25.10000","23.60000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1994","Europe","25.1 [23.6-26.6]","25.10000","23.60000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1995","Europe","25.2 [23.7-26.6]","25.20000","23.70000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1996","Europe","25.2 [23.8-26.7]","25.20000","23.80000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1997","Europe","25.3 [23.8-26.7]","25.30000","23.80000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1998","Europe","25.3 [23.9-26.7]","25.30000","23.90000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","1999","Europe","25.4 [24.0-26.8]","25.40000","24.00000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","2000","Europe","25.5 [24.2-26.9]","25.50000","24.20000","26.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","2001","Europe","25.7 [24.3-27.0]","25.70000","24.30000","27.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","2002","Europe","25.8 [24.4-27.2]","25.80000","24.40000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","2003","Europe","25.9 [24.5-27.3]","25.90000","24.50000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","2004","Europe","26.0 [24.6-27.5]","26.00000","24.60000","27.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","2005","Europe","26.2 [24.7-27.7]","26.20000","24.70000","27.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","2006","Europe","26.3 [24.8-27.8]","26.30000","24.80000","27.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Albania","Male","2007","Europe","26.5 [24.9-28.0]","26.50000","24.90000","28.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1980","Africa","22.2 [20.2-24.2]","22.20000","20.20000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1981","Africa","22.3 [20.4-24.2]","22.30000","20.40000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1982","Africa","22.4 [20.6-24.2]","22.40000","20.60000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1983","Africa","22.4 [20.8-24.1]","22.40000","20.80000","24.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1984","Africa","22.5 [21.0-24.1]","22.50000","21.00000","24.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1985","Africa","22.6 [21.1-24.2]","22.60000","21.10000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1986","Africa","22.7 [21.2-24.2]","22.70000","21.20000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1987","Africa","22.8 [21.4-24.2]","22.80000","21.40000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1988","Africa","22.9 [21.5-24.2]","22.90000","21.50000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1989","Africa","22.9 [21.6-24.2]","22.90000","21.60000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1990","Africa","23.0 [21.7-24.3]","23.00000","21.70000","24.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1991","Africa","23.1 [21.8-24.3]","23.10000","21.80000","24.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1992","Africa","23.1 [21.9-24.3]","23.10000","21.90000","24.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1993","Africa","23.2 [22.0-24.4]","23.20000","22.00000","24.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1994","Africa","23.3 [22.1-24.4]","23.30000","22.10000","24.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1995","Africa","23.4 [22.3-24.4]","23.40000","22.30000","24.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1996","Africa","23.4 [22.4-24.5]","23.40000","22.40000","24.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1997","Africa","23.5 [22.5-24.5]","23.50000","22.50000","24.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1998","Africa","23.6 [22.6-24.6]","23.60000","22.60000","24.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","1999","Africa","23.7 [22.7-24.7]","23.70000","22.70000","24.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","2000","Africa","23.8 [22.8-24.7]","23.80000","22.80000","24.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","2001","Africa","23.9 [23.0-24.8]","23.90000","23.00000","24.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","2002","Africa","24.0 [23.1-24.9]","24.00000","23.10000","24.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","2003","Africa","24.1 [23.2-25.0]","24.10000","23.20000","25.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","2004","Africa","24.2 [23.3-25.1]","24.20000","23.30000","25.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","2005","Africa","24.3 [23.4-25.3]","24.30000","23.40000","25.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","2006","Africa","24.4 [23.5-25.4]","24.40000","23.50000","25.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Algeria","Male","2007","Africa","24.5 [23.5-25.6]","24.50000","23.50000","25.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1980","Europe","25.7 [23.3-28.1]","25.70000","23.30000","28.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1981","Europe","25.7 [23.4-28.0]","25.70000","23.40000","28.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1982","Europe","25.7 [23.5-28.0]","25.70000","23.50000","28.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1983","Europe","25.8 [23.6-28.0]","25.80000","23.60000","28.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1984","Europe","25.8 [23.6-28.0]","25.80000","23.60000","28.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1985","Europe","25.8 [23.7-28.0]","25.80000","23.70000","28.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1986","Europe","25.9 [23.7-28.0]","25.90000","23.70000","28.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1987","Europe","25.9 [23.8-28.0]","25.90000","23.80000","28.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1988","Europe","26.0 [23.8-28.1]","26.00000","23.80000","28.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1989","Europe","26.0 [23.9-28.1]","26.00000","23.90000","28.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1990","Europe","26.1 [24.0-28.2]","26.10000","24.00000","28.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1991","Europe","26.2 [24.1-28.3]","26.20000","24.10000","28.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1992","Europe","26.2 [24.2-28.3]","26.20000","24.20000","28.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1993","Europe","26.3 [24.2-28.4]","26.30000","24.20000","28.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1994","Europe","26.3 [24.3-28.4]","26.30000","24.30000","28.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1995","Europe","26.4 [24.4-28.5]","26.40000","24.40000","28.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1996","Europe","26.5 [24.4-28.6]","26.50000","24.40000","28.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1997","Europe","26.6 [24.5-28.7]","26.60000","24.50000","28.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1998","Europe","26.6 [24.6-28.7]","26.60000","24.60000","28.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","1999","Europe","26.7 [24.7-28.8]","26.70000","24.70000","28.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","2000","Europe","26.8 [24.7-28.9]","26.80000","24.70000","28.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","2001","Europe","26.9 [24.8-29.0]","26.90000","24.80000","29.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","2002","Europe","27.0 [24.9-29.1]","27.00000","24.90000","29.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","2003","Europe","27.1 [25.0-29.2]","27.10000","25.00000","29.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","2004","Europe","27.2 [25.1-29.3]","27.20000","25.10000","29.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","2005","Europe","27.3 [25.2-29.4]","27.30000","25.20000","29.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","2006","Europe","27.4 [25.3-29.6]","27.40000","25.30000","29.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Andorra","Male","2007","Europe","27.5 [25.3-29.7]","27.50000","25.30000","29.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1980","Africa","20.9 [17.5-24.5]","20.90000","17.50000","24.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1981","Africa","20.9 [17.6-24.3]","20.90000","17.60000","24.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1982","Africa","20.9 [17.7-24.2]","20.90000","17.70000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1983","Africa","20.9 [17.7-24.1]","20.90000","17.70000","24.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1984","Africa","20.9 [17.8-24.0]","20.90000","17.80000","24.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1985","Africa","20.9 [17.9-23.9]","20.90000","17.90000","23.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1986","Africa","20.9 [18.0-23.9]","20.90000","18.00000","23.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1987","Africa","20.9 [18.0-23.8]","20.90000","18.00000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1988","Africa","21.0 [18.1-23.8]","21.00000","18.10000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1989","Africa","21.0 [18.2-23.8]","21.00000","18.20000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1990","Africa","21.0 [18.3-23.8]","21.00000","18.30000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1991","Africa","21.1 [18.4-23.8]","21.10000","18.40000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1992","Africa","21.1 [18.4-23.8]","21.10000","18.40000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1993","Africa","21.1 [18.4-23.7]","21.10000","18.40000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1994","Africa","21.1 [18.5-23.7]","21.10000","18.50000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1995","Africa","21.1 [18.5-23.7]","21.10000","18.50000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1996","Africa","21.2 [18.6-23.7]","21.20000","18.60000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1997","Africa","21.2 [18.6-23.7]","21.20000","18.60000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1998","Africa","21.3 [18.7-23.7]","21.30000","18.70000","23.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","1999","Africa","21.3 [18.8-23.8]","21.30000","18.80000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","2000","Africa","21.4 [18.8-23.8]","21.40000","18.80000","23.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","2001","Africa","21.4 [18.9-23.9]","21.40000","18.90000","23.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","2002","Africa","21.5 [19.0-23.9]","21.50000","19.00000","23.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","2003","Africa","21.6 [19.1-24.0]","21.60000","19.10000","24.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","2004","Africa","21.7 [19.2-24.1]","21.70000","19.20000","24.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","2005","Africa","21.8 [19.3-24.2]","21.80000","19.30000","24.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","2006","Africa","21.9 [19.3-24.4]","21.90000","19.30000","24.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Angola","Male","2007","Africa","22.1 [19.5-24.6]","22.10000","19.50000","24.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1980","Americas","23.3 [20.7-25.9]","23.30000","20.70000","25.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1981","Americas","23.3 [20.9-25.9]","23.30000","20.90000","25.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1982","Americas","23.4 [21.0-25.9]","23.40000","21.00000","25.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1983","Americas","23.5 [21.1-25.9]","23.50000","21.10000","25.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1984","Americas","23.6 [21.3-26.0]","23.60000","21.30000","26.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1985","Americas","23.7 [21.4-26.0]","23.70000","21.40000","26.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1986","Americas","23.8 [21.5-26.1]","23.80000","21.50000","26.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1987","Americas","23.9 [21.7-26.2]","23.90000","21.70000","26.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1988","Americas","24.0 [21.8-26.2]","24.00000","21.80000","26.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1989","Americas","24.1 [22.0-26.3]","24.10000","22.00000","26.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1990","Americas","24.2 [22.1-26.4]","24.20000","22.10000","26.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1991","Americas","24.3 [22.2-26.5]","24.30000","22.20000","26.50000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1992","Americas","24.4 [22.3-26.6]","24.40000","22.30000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1993","Americas","24.5 [22.4-26.7]","24.50000","22.40000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1994","Americas","24.6 [22.4-26.7]","24.60000","22.40000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1995","Americas","24.7 [22.5-26.8]","24.70000","22.50000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1996","Americas","24.7 [22.6-26.8]","24.70000","22.60000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1997","Americas","24.8 [22.6-26.9]","24.80000","22.60000","26.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1998","Americas","24.9 [22.7-27.0]","24.90000","22.70000","27.00000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","1999","Americas","25.0 [22.8-27.1]","25.00000","22.80000","27.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","2000","Americas","25.0 [22.8-27.2]","25.00000","22.80000","27.20000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","2001","Americas","25.1 [22.9-27.3]","25.10000","22.90000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","2002","Americas","25.2 [23.0-27.3]","25.20000","23.00000","27.30000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","2003","Americas","25.3 [23.1-27.4]","25.30000","23.10000","27.40000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","2004","Americas","25.4 [23.2-27.6]","25.40000","23.20000","27.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","2005","Americas","25.5 [23.3-27.7]","25.50000","23.30000","27.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","2006","Americas","25.7 [23.4-27.9]","25.70000","23.40000","27.90000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Antigua and Barbuda","Male","2007","Americas","25.8 [23.5-28.1]","25.80000","23.50000","28.10000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1980","Americas","25.4 [23.9-26.8]","25.40000","23.90000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1981","Americas","25.4 [24.1-26.7]","25.40000","24.10000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1982","Americas","25.5 [24.2-26.7]","25.50000","24.20000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1983","Americas","25.5 [24.4-26.6]","25.50000","24.40000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1984","Americas","25.6 [24.5-26.6]","25.60000","24.50000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1985","Americas","25.6 [24.6-26.6]","25.60000","24.60000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1986","Americas","25.7 [24.8-26.6]","25.70000","24.80000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1987","Americas","25.8 [24.9-26.6]","25.80000","24.90000","26.60000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1988","Americas","25.8 [25.0-26.7]","25.80000","25.00000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1989","Americas","25.9 [25.0-26.7]","25.90000","25.00000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1990","Americas","25.9 [25.1-26.7]","25.90000","25.10000","26.70000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1991","Americas","26.0 [25.2-26.8]","26.00000","25.20000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1992","Americas","26.1 [25.3-26.8]","26.10000","25.30000","26.80000",""
"Mean BMI (kg/m2) (age-standardized estimate)","20+","Argentina","Male","1993","Americas","26.2 [25.4-26.9]","26.20000","25.40000","26.90000",""
